
random_KNN_25 0.097 0.100 0.100 0.100 0.093 0.097 0.100 0.100 0.097 0.097 0.100 0.097 0.097 0.100 0.097 0.097 0.100 0.100 0.097 0.097
random_KNN_100 0.097 0.100 0.100 0.100 0.093 0.097 0.100 0.100 0.097 0.097 0.100 0.097 0.097 0.100 0.097 0.097 0.100 0.100 0.097 0.097
random_KNN_50 0.057 0.057 0.060 0.057 0.053 0.060 0.060 0.057 0.057 0.060 0.057 0.057 0.057 0.057 0.057 0.053 0.057 0.053 0.053 0.057
random_DTC_25 0.107 0.103 0.067 0.097 0.120 0.083 0.117 0.110 0.090 0.103 0.087 0.080 0.087 0.093 0.097 0.097 0.073 0.100 0.093 0.093
random_DTC_100 0.107 0.103 0.067 0.097 0.120 0.083 0.117 0.110 0.090 0.103 0.087 0.080 0.087 0.093 0.097 0.097 0.073 0.100 0.093 0.093
random_DTC_50 0.073 0.057 0.053 0.060 0.070 0.060 0.067 0.063 0.060 0.063 0.053 0.047 0.053 0.063 0.063 0.047 0.067 0.067 0.057 0.070
random_RF_25 0.097 0.103 0.097 0.100 0.100 0.107 0.103 0.093 0.103 0.100 0.100 0.097 0.097 0.097 0.100 0.097 0.097 0.093 0.103 0.097
random_RF_100 0.097 0.103 0.097 0.100 0.100 0.107 0.103 0.093 0.103 0.100 0.100 0.097 0.097 0.097 0.100 0.097 0.097 0.093 0.103 0.097
random_RF_50 0.053 0.053 0.053 0.053 0.063 0.057 0.060 0.057 0.053 0.057 0.057 0.060 0.060 0.057 0.053 0.057 0.057 0.060 0.053 0.053
random_SVM_25 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
random_SVM_100 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
random_SVM_50 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
smac_KNN_25 0.504 0.471 0.489 0.479 0.446 0.450 0.542 0.471 0.492 0.542 0.483 0.542 0.484 0.496 0.492 0.474 0.479 0.542 0.488 0.496
smac_KNN_100 0.542 0.542 0.542 0.542 0.542 0.542 0.542 0.542 0.542 0.542 0.542 0.542 0.542 0.542 0.466 0.456 0.542 0.542 0.542 0.542
smac_KNN_50 0.462 0.500 0.496 0.542 0.542 0.542 0.483 0.492 0.542 0.542 0.517 0.512 0.475 0.483 0.508 0.500 0.476 0.508 0.483 0.467
smac_DTC_25 0.504 0.356 0.528 0.524 0.537 0.523 0.534 0.516 0.484 0.356 0.487 0.496 0.533 0.504 0.459 0.504 0.530 0.476 0.496 0.525
smac_DTC_100 0.525 0.479 0.528 0.356 0.478 0.472 0.484 0.424 0.356 0.444 0.479 0.513 0.471 0.522 0.356 0.356 0.356 0.356 0.460 0.356
smac_DTC_50 0.500 0.356 0.356 0.517 0.356 0.356 0.516 0.472 0.534 0.356 0.356 0.444 0.533 0.458 0.509 0.356 0.479 0.517 0.522 0.356
smac_RF_25 0.496 0.515 0.514 0.500 0.520 0.515 0.500 0.491 0.514 0.486 0.515 0.505 0.500 0.500 0.495 0.519 0.505 0.505 0.505 0.479
smac_RF_100 0.515 0.520 0.515 0.520 0.515 0.510 0.490 0.510 0.515 0.510 0.515 0.515 0.505 0.515 0.520 0.500 0.510 0.495 0.515 0.510
smac_RF_50 0.515 0.505 0.481 0.490 0.510 0.515 0.500 0.510 0.515 0.515 0.515 0.510 0.515 0.515 0.515 0.520 0.505 0.510 0.495 0.529
smac_SVM_25 0.484 0.525 0.495 0.532 0.514 0.489 0.549 0.547 0.505 0.500 0.500 0.529 0.544 0.521 0.460 0.505 0.510 0.479 0.554 0.481
smac_SVM_50 0.484 0.458 0.519 0.357 0.475 0.386 0.425 0.458 0.557 0.558 0.427 0.483 0.521 0.467 0.472 0.529 0.511 0.417 0.528 0.463
smac_SVM_100 0.484 0.479 0.521 0.458 0.465 0.511 0.542 0.532 0.463 0.524 0.484 0.495 0.511 0.500 0.516 0.482 0.484 0.500 0.500 0.471
de_KNN_25 0.097 0.100 0.097 0.100 0.100 0.100 0.097 0.097 0.100 0.097 0.100 0.100 0.100 0.100 0.097 0.100 0.100 0.100 0.100 0.100
de_KNN_100 0.100 0.100 0.100 0.100 0.100 0.100 0.100 0.100 0.100 0.097 0.093 0.100 0.100 0.100 0.100 0.100 0.093 0.097 0.100 0.097
de_KNN_50 0.097 0.097 0.100 0.100 0.100 0.097 0.100 0.097 0.100 0.097 0.100 0.097 0.097 0.100 0.093 0.103 0.100 0.100 0.100 0.097
de_DTC_25 0.093 0.083 0.110 0.090 0.113 0.100 0.103 0.103 0.113 0.083 0.113 0.117 0.123 0.093 0.107 0.110 0.077 0.090 0.097 0.097
de_DTC_100 0.100 0.090 0.110 0.100 0.113 0.097 0.120 0.100 0.103 0.093 0.113 0.097 0.100 0.113 0.100 0.090 0.107 0.097 0.087 0.100
de_DTC_50 0.113 0.123 0.113 0.103 0.110 0.110 0.110 0.103 0.080 0.087 0.090 0.080 0.097 0.090 0.097 0.103 0.127 0.080 0.080 0.090
de_RF_25 0.097 0.103 0.097 0.097 0.107 0.107 0.103 0.100 0.093 0.107 0.100 0.107 0.100 0.103 0.107 0.097 0.097 0.097 0.093 0.097
de_RF_100 0.103 0.103 0.090 0.107 0.093 0.100 0.103 0.093 0.100 0.107 0.100 0.100 0.097 0.100 0.100 0.093 0.090 0.097 0.107 0.113
de_RF_50 0.100 0.097 0.100 0.093 0.103 0.107 0.100 0.097 0.103 0.097 0.107 0.097 0.107 0.093 0.093 0.093 0.097 0.100 0.097 0.103
de_SVM_25 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
de_SVM_100 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
de_SVM_50 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
grid_KNN_25 0.093 0.110 0.100 0.100 0.097
grid_KNN_100 0.093 0.110 0.100 0.100 0.097
grid_KNN_50 0.093 0.110 0.100 0.100 0.097
grid_DTC_25 0.120 0.093 0.100 0.120 0.107
grid_DTC_100 0.107 0.083 0.093 0.090 0.110
grid_DTC_50 0.100 0.110 0.103 0.117 0.087
grid_RF_25 0.093 0.097 0.097 0.097 0.093
grid_RF_100 0.097 0.093 0.093 0.100 0.093
grid_RF_50 0.090 0.097 0.097 0.097 0.103
grid_SVM_25 0.000 0.000 0.000 0.000 0.000
grid_SVM_100 0.000 0.000 0.000 0.000 0.000
grid_SVM_50 0.000 0.000 0.000 0.000 0.000
