
default_KNN_100 0.120 0.127 0.113 0.123
default_DTC_100 0.107 0.127 0.120 0.120
default_RF_100 0.127 0.130 0.130 0.127
default_SVM_100 0.130 0.133 0.130 0.130
smac_KNN_100 0.703 0.703 0.703 0.676
smac_DTC_100 0.622 0.622 0.622 0.622
smac_RF_100 0.703 0.730 0.676 0.703
random_KNN_100 0.120 0.123 0.123 0.127
random_DTC_100 0.107 0.117 0.137 0.113
random_RF_100 0.127 0.120 0.130 0.127
random_SVM_100 0.140 0.140 0.140 0.140
de_KNN_100 0.123 0.123 0.120 0.127
de_DTC_100 0.123 0.130 0.120 0.127
de_RF_100 0.130 0.123 0.123 0.127
de_SVM_100 0.140 0.140 0.133 0.140
grid_KNN_100 0.747 0.747 0.750 0.750
grid_DTC_100 0.763 0.763 0.760 0.770
grid_RF_100 0.753 0.753 0.757 0.757
grid_SVM_100 0.690 0.690 0.687 0.673
