
default_KNN_100 0.937 0.950 0.953 0.937
default_DTC_100 0.920 0.907 0.930 0.937
default_RF_100 0.950 0.963 0.950 0.950
default_SVM_100 0.750 0.760 0.783 0.743
smac_KNN_100 0.249 0.265 0.190 0.275
smac_DTC_100 0.307 0.317 0.444 0.328
smac_RF_100 0.354 0.339 0.333 0.317
smac_SVM_100 0.381 0.333 0.370 0.323
random_KNN_100 0.953 0.957 0.937 0.950
random_DTC_100 0.980 0.980 0.977 0.963
random_RF_100 0.973 0.967 0.973 0.970
random_SVM_100 0.167 0.223 0.167 0.793
de_KNN_100 0.943 0.950 0.957 0.947
de_DTC_100 0.953 0.960 0.937 0.977
de_RF_100 0.963 0.957 0.960 0.960
de_SVM_100 0.167 0.567 0.200 0.500
