
default_KNN_100 0.190 0.200 0.177 0.157
default_DTC_100 0.180 0.167 0.140 0.203
default_RF_100 0.263 0.180 0.190 0.130
default_SVM_100 0.000 0.000 0.000 0.000
smac_KNN_100 0.219 0.188 0.312 0.219
smac_DTC_100 0.719 0.688 0.656 0.719
smac_RF_100 0.656 0.656 0.656 0.594
random_KNN_100 0.103 0.107 0.163 0.117
random_DTC_100 0.090 0.193 0.223 0.150
random_RF_100 0.193 0.257 0.543 0.203
random_SVM_100 0.000 0.000 0.000 0.000
de_KNN_100 0.133 0.117 0.127 0.160
de_DTC_100 0.203 0.270 0.183 0.143
de_RF_100 0.417 0.243 0.263 0.177
de_SVM_100 0.000 0.000 0.000 0.000
