
default_KNN_50 0.323 0.293 0.310 0.323
default_DTC_50 0.457 0.410 0.407 0.397
default_RF_50 0.417 0.410 0.410 0.390
default_SVM_50 0.020 0.027 0.027 0.020
smac_KNN_50 0.450 0.438 0.438 0.457
smac_DTC_50 0.400 0.429 0.443 0.394
smac_RF_50 0.427 0.413 0.407 0.417
smac_SVM_50 0.204 0.333 0.208 0.341
random_KNN_50 0.347 0.307 0.333 0.307
random_DTC_50 0.393 0.400 0.427 0.360
random_RF_50 0.423 0.430 0.410 0.400
random_SVM_50 0.020 0.007 0.000 0.020
de_KNN_50 0.313 0.307 0.370 0.333
de_DTC_50 0.373 0.393 0.387 0.423
de_RF_50 0.443 0.443 0.453 0.413
de_SVM_50 0.007 0.007 0.007 0.013
grid_RF_50 0.377 0.370 0.380 0.387
