
default_KNN_100 0.580 0.577 0.587 0.563
default_DTC_100 0.543 0.577 0.610 0.593
default_RF_100 0.583 0.573 0.560 0.543
default_SVM_100 0.320 0.507 0.177 0.330
smac_KNN_100 0.514 0.507 0.507 0.514
smac_DTC_100 0.528 0.549 0.500 0.576
smac_RF_100 0.521 0.507 0.514 0.507
smac_SVM_100 0.556 0.562 0.562 0.583
random_KNN_100 0.737 0.713 0.710 0.733
random_DTC_100 0.760 0.740 0.700 0.747
random_RF_100 0.750 0.753 0.753 0.753
random_SVM_100 0.447 0.213 0.390 0.620
de_KNN_100 0.737 0.740 0.720 0.747
de_DTC_100 0.737 0.750 0.697 0.747
de_RF_100 0.773 0.740 0.747 0.743
de_SVM_100 0.410 0.613 0.400 0.407
grid_KNN_100 0.763 0.747 0.763 0.760
grid_DTC_100 0.717 0.697 0.700 0.723
grid_RF_100 0.760 0.770 0.770 0.763
grid_SVM_100 0.147 0.000 0.000 0.133
