
\textcolor{huyblack}{default_KNN_50} 0.580 0.577 0.587 0.563
\textcolor{huyblack}{default_DTC_50} 0.543 0.577 0.610 0.593
\textcolor{huyblack}{default_RF_50} 0.583 0.573 0.560 0.543
\textcolor{huyblack}{default_SVM_50} 0.320 0.507 0.177 0.330
\textcolor{huygray}{smac_KNN_50} 0.507 0.507 0.500 0.521
\textcolor{huygray}{smac_DTC_50} 0.528 0.528 0.521 0.542
\textcolor{huygray}{smac_RF_50} 0.514 0.479 0.535 0.465
\textcolor{huygray}{smac_SVM_50} 0.569 0.590 0.611 0.562
\textcolor{huygreen}{random_KNN_50} 0.737 0.713 0.710 0.733
\textcolor{huygreen}{random_DTC_50} 0.760 0.740 0.700 0.747
\textcolor{huygreen}{random_RF_50} 0.750 0.753 0.753 0.753
\textcolor{huygreen}{random_SVM_50} 0.447 0.213 0.390 0.620
\textcolor{huypink}{de_KNN_50} 0.713 0.737 0.743 0.713
\textcolor{huypink}{de_DTC_50} 0.767 0.710 0.733 0.797
\textcolor{huypink}{de_RF_50} 0.753 0.747 0.750 0.750
\textcolor{huypink}{de_SVM_50} 0.630 0.187 0.590 0.570
\textcolor{huyblue}{grid_KNN_50} 0.720 0.710 0.717 0.713
\textcolor{huyblue}{grid_DTC_50} 0.713 0.733 0.720 0.700
\textcolor{huyblue}{grid_RF_50} 0.753 0.747 0.740 0.763
\textcolor{huyblue}{grid_SVM_50} 0.230 0.000 0.230 0.000
