
\textcolor{huyblack}{default_KNN_50} 0.000 0.000 0.010 0.010
\textcolor{huyblack}{default_DTC_50} 0.147 0.123 0.117 0.113
\textcolor{huyblack}{default_RF_50} 0.030 0.030 0.020 0.040
\textcolor{huyblack}{default_SVM_50} 0.000 0.000 0.000 0.000
\textcolor{huygray}{smac_KNN_50} 0.044 0.027 0.036 0.036
\textcolor{huygray}{smac_DTC_50} 0.062 0.188 0.045 0.163
\textcolor{huygray}{smac_RF_50} 0.027 0.111 0.045 0.086
\textcolor{huygray}{smac_SVM_50} 0.078 0.035 0.061 0.102
\textcolor{huygreen}{random_KNN_50} 0.010 0.053 0.057 0.023
\textcolor{huygreen}{random_DTC_50} 0.043 0.017 0.013 0.000
\textcolor{huygreen}{random_RF_50} 0.000 0.000 0.000 0.013
\textcolor{huygreen}{random_SVM_50} 0.007 0.003 0.007 0.000
\textcolor{huypink}{de_KNN_50} 0.033 0.030 0.030 0.063
\textcolor{huypink}{de_DTC_50} 0.013 0.007 0.030 0.000
\textcolor{huypink}{de_RF_50} 0.000 0.000 0.000 0.013
\textcolor{huypink}{de_SVM_50} 0.007 0.003 0.007 0.000
\textcolor{huyblue}{grid_KNN_50} 0.020 0.033 0.033 0.010
\textcolor{huyblue}{grid_DTC_50} 0.000 0.000 0.000 0.000
\textcolor{huyblue}{grid_RF_50} 0.000 0.000 0.000 0.000
\textcolor{huyblue}{grid_SVM_50} 0.010 0.010 0.010 0.010
