
\textcolor{huyblack}{default_KNN_100} 0.580 0.577 0.587 0.563
\textcolor{huyblack}{default_DTC_100} 0.543 0.577 0.610 0.593
\textcolor{huyblack}{default_RF_100} 0.583 0.573 0.560 0.543
\textcolor{huyblack}{default_SVM_100} 0.320 0.507 0.177 0.330
\textcolor{huygray}{smac_KNN_100} 0.476 0.542 0.574 0.502
\textcolor{huygray}{smac_DTC_100} 0.613 0.596 0.592 0.617
\textcolor{huygray}{smac_RF_100} 0.587 0.598 0.594 0.586
\textcolor{huygray}{smac_SVM_100} 0.347 0.459 0.303 0.186
\textcolor{huygreen}{random_KNN_100} 0.590 0.620 0.587 0.610
\textcolor{huygreen}{random_DTC_100} 0.603 0.570 0.627 0.593
\textcolor{huygreen}{random_RF_100} 0.580 0.597 0.593 0.587
\textcolor{huygreen}{random_SVM_100} 0.040 0.060 0.037 0.097
\textcolor{huypink}{de_KNN_100} 0.587 0.627 0.583 0.567
\textcolor{huypink}{de_DTC_100} 0.627 0.603 0.633 0.560
\textcolor{huypink}{de_RF_100} 0.577 0.607 0.590 0.610
\textcolor{huypink}{de_SVM_100} 0.000 0.073 0.117 0.157
\textcolor{huyblue}{grid_KNN_100} 0.580 0.573 0.590 0.567
\textcolor{huyblue}{grid_DTC_100} 0.570 0.583 0.567 0.570
\textcolor{huyblue}{grid_RF_100} 0.607 0.610 0.587 0.597
\textcolor{huyblue}{grid_SVM_100} 0.000 0.000 0.037 0.040
